Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","94 (22)
							",kJ (kcal),236
"grasa, total (lipidos totales)",traza,g,7
"proteina, total",0.2,g,7
agua (humedad),96.2,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0.3,g,7
carbohidratos,5.3,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.009,g,38
"ácidos grasos, poliinsaturados totales",0.028,g,38
ácidos grasos saturados totales,0.009,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,7
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,2.77,ug,7
Vitamina D,0,ug,7
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.02,mg,7
"folato, total",2.34,ug,7
"equivalentes de niacina, totales",0.06,mg,7
riboflavina,0,mg,7
tiamina,0.02,mg,7
Vitamina B-12,0,ug,7
"Vitamina B-6, Total",0.02,mg,7
Vitamina C (ácido ascórbico),4.31,mg,7
Minerales,,,
calcio,2.56,mg,7
"hierro, total",0.11,mg,7
potasio,53.23,mg,7
magnesio,13,mg,38
sodio,0.64,mg,7
fósforo,2.34,mg,7
ioduro,6,ug,7
"selenio, total",0.1,ug,38
zinc (cinc),0.03,mg,7
