Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,278
"energía, total","3700 (888)
							",kJ (kcal),236
"grasa, total (lipidos totales)",100,g,278
"proteina, total",traza,g,278
agua (humedad),traza,g,278
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,278
carbohidratos,0,g,278
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0,g,310
"ácidos grasos, monoinsaturados totales",78.2,g,310
"ácidos grasos, poliinsaturados totales",7.5,g,310
ácidos grasos saturados totales,14.21,g,310
ácido graso 12:0 (láurico),0,g,310
ácido graso 14:0 (ácido mirístico),0.01,g,310
ácido graso 16:0 (ácido palmítico),10.4,g,310
ácido graso 18:0 (ácido esteárico),2.2,g,310
ácido graso 18:1 n-9 cis (ácido oléico),78.2,g,310
colesterol,0,mg,278
ácido graso 18:2,6.8,g,310
ácido graso 18:3,0.7,g,310
ácido graso 20:4 n-6  (ácido araquidónico),0,g,310
ácido graso 20:5 (ácido eicosapentaenóico),0,g,310
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,34,ug,278
Vitamina D,0,ug,278
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,18.34,mg,310
"folato, total",traza,ug,278
"equivalentes de niacina, totales",traza,mg,278
riboflavina,traza,mg,278
tiamina,traza,mg,278
Vitamina B-12,0,ug,278
"Vitamina B-6, Total",0,mg,280
Vitamina C (ácido ascórbico),0,mg,278
Minerales,,,
calcio,traza,mg,278
"hierro, total",traza,mg,278
potasio,traza,mg,278
magnesio,traza,mg,278
sodio,traza,mg,278
fósforo,traza,mg,278
ioduro,0,ug,280
"selenio, total",0,ug,280
zinc (cinc),traza,mg,278
