Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","654 (157)
							",kJ (kcal),236
"grasa, total (lipidos totales)",4.638,g,61
"proteina, total",28.4,g,149
agua (humedad),65.1,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,61
carbohidratos,0,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",2,g,149
"ácidos grasos, poliinsaturados totales",0.62,g,149
ácidos grasos saturados totales,1.8,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,98,mg,149
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,61
Vitamina D,traza,ug,149
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.15,mg,149
"folato, total",10,ug,149
"equivalentes de niacina, totales",8.6,mg,149
riboflavina,0.29,mg,149
tiamina,0.07,mg,149
Vitamina B-12,1.2,ug,149
"Vitamina B-6, Total",0.35,mg,149
Vitamina C (ácido ascórbico),0,mg,149
Minerales,,,
calcio,17,mg,149
"hierro, total",1.3,mg,149
potasio,375,mg,149
magnesio,25,mg,149
sodio,93,mg,149
fósforo,236,mg,149
ioduro,4.9,ug,38
"selenio, total",8.7,ug,38
zinc (cinc),2.1,mg,180
