Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","818 (196)
							",kJ (kcal),236
"grasa, total (lipidos totales)",8.3316,g,61
"proteina, total",30,g,149
agua (humedad),60.8,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,61
carbohidratos,0,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",4,g,149
"ácidos grasos, poliinsaturados totales",0.34,g,149
ácidos grasos saturados totales,3.6,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,70,mg,149
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,61
Vitamina D,traza,ug,149
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.45,mg,149
"folato, total",10,ug,149
"equivalentes de niacina, totales",4,mg,149
riboflavina,0.26,mg,149
tiamina,0.06,mg,149
Vitamina B-12,2,ug,149
"Vitamina B-6, Total",0.3,mg,149
Vitamina C (ácido ascórbico),0,mg,149
Minerales,,,
calcio,11,mg,149
"hierro, total",3.7,mg,149
potasio,320,mg,149
magnesio,23,mg,149
sodio,68,mg,149
fósforo,240,mg,149
ioduro,6,ug,38
"selenio, total",3,ug,38
zinc (cinc),1,mg,180
