Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","382 (92)
							",kJ (kcal),236
"grasa, total (lipidos totales)",3.3,g,327
"proteina, total",3.5,g,327
agua (humedad),80.7,g,327
Hidratos de Carbono,,,
"fibra, dietetica total",0.5,g,327
carbohidratos,11.8,g,327
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.9,g,327
"ácidos grasos, poliinsaturados totales",0.1,g,327
ácidos grasos saturados totales,2.1,g,327
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,13,mg,327
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,28.1,ug,327
Vitamina D,0.093,ug,327
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.084,mg,327
"folato, total",23,ug,327
"equivalentes de niacina, totales",0.124,mg,327
riboflavina,0.163,mg,327
tiamina,0.036,mg,327
Vitamina B-12,0.15,ug,327
"Vitamina B-6, Total",0.042,mg,327
Vitamina C (ácido ascórbico),0.1,mg,327
Minerales,,,
calcio,98.9,mg,42
"hierro, total",0.361,mg,42
potasio,138.1,mg,42
magnesio,13.9,mg,42
sodio,52.8,mg,42
fósforo,95,mg,327
ioduro,24.3,ug,327
"selenio, total",1.3,ug,327
zinc (cinc),0.415,mg,42
